,text_id,token,ageism,aporophobia,body_shame,capacitism,lgbtphobia,political,racism,religious_intolerance,misogyny,xenophobia,other,not_hate
208,1366,▁v,0.001982987,-0.016697979,0.18228507,-0.062451147,-0.111708075,0.0675599,-0.1274048,0.014381421,0.04653818,-0.09098217,-0.16112436,-0.29365838
209,1366,ão,-0.08532025,0.01098956,0.037849545,-0.0808495,-0.09331381,0.04303173,-0.11459494,0.015958127,0.13446291,-0.014005695,-0.037918016,-0.39237648
210,1366,▁vai,-0.09728743,0.034511182,0.13802952,-0.25667453,-0.23380029,0.1750175,-0.31589985,0.023444088,-0.042542543,-0.15971768,-0.12723896,-0.62077165
211,1366,▁arr,-0.092229925,0.035457343,0.16540247,-0.28897098,-0.2952625,0.20184098,-0.4257788,0.067026846,0.23123021,-0.20417038,-0.1255452,-0.8998363
212,1366,an,0.101730004,0.08119099,0.086494416,0.04280836,-0.12179044,-0.0016509108,0.0006644726,0.09658076,0.15976132,0.062931225,0.06115432,-0.086975515
213,1366,jar,-0.004263565,0.13113678,0.123211116,-0.21291643,-0.39726216,0.32066512,-0.27661324,0.12476693,-0.08318562,-0.12778677,-0.15711737,-0.64552635
214,1366,...,0.17783119,0.21163382,0.36305523,-0.11281729,-0.32727355,0.19629401,-0.08894843,0.20315993,0.2805696,-0.18969189,0.0925004,-0.6767683
215,1140,▁A,1.1030449,0.6864762,0.7710153,0.75668466,0.7444368,0.42781618,0.86441535,0.6909432,0.47255358,0.7831987,-1.2169597,-0.024061687
216,1140,▁CARA,0.24837562,0.30055466,0.2221638,0.14002848,0.018090077,0.05966641,0.2541716,0.16799937,0.09844039,0.22464858,0.12097782,0.16560131
217,1140,▁DA,-0.698062,-0.46174243,-0.68164283,-0.5251179,-0.51772374,-0.24812862,-0.71443844,-0.6037119,-0.3214476,-0.7034701,0.21535708,0.45811307
218,1140,▁FEI,-0.6688051,-0.24079311,-0.7552259,-0.42928797,-0.34762642,-0.05752477,-0.63990664,-0.43998182,-0.6307676,-0.48045656,0.70313835,0.41547388
219,1140,A,0.15759376,-0.012010455,-0.21150166,0.18253392,0.2349486,0.06991163,0.09919202,-0.038939506,-0.39865574,0.23835734,-0.7151458,0.38384184
220,1140,▁DA,-0.5582365,-0.4166,-0.42411312,-0.56003743,-0.5293086,-0.26158953,-0.63291615,-0.54828525,-0.21574767,-0.6596684,0.29428136,0.5001445
221,1140,▁VI,-1.0457919,-0.6473819,-0.8788458,-0.7547907,-0.77779174,-0.4544654,-1.043973,-0.84192324,-0.38009232,-1.1141471,0.8451996,0.46222055
222,1140,V,0.111441344,0.0932648,0.1253528,-0.007859319,-0.017767787,-0.037026633,0.14047481,0.03753215,0.06589534,0.081971616,0.073550574,0.055570215
223,1140,IAN,-0.6510443,0.0019413829,-0.33594054,-0.6214693,-0.43639767,0.005015999,-0.67099714,-0.6177322,-0.08846018,-0.24665165,1.4323523,0.44771272
224,1140,▁E,0.4129386,0.71420413,0.58352864,0.006924525,0.3189766,0.48039567,0.40382385,0.014794081,0.33824986,0.83859396,0.7937512,0.3994476
