fold,accuracy,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro
0,0.8208100758551595,0.8615695520377231,0.2917025304264431,0.8865936503535283,0.5655943510979632,0.83791928721174,0.22818468086223476
1,0.8198082152569057,0.8643953676272556,0.3166074026870674,0.8896742896742896,0.5362917325580251,0.84051329055912,0.2515047591926769
2,0.8179476170030056,0.8634319844305751,0.3032335694398129,0.8893958246923821,0.5947043683827995,0.8389410537297861,0.24125823500712518
3,0.8145126663804207,0.8606590450571621,0.2633109576900781,0.8864108602299487,0.41888534682688955,0.8363612599660175,0.21308825285712985
4,0.8162038362439165,0.8615984405458089,0.2732262635803121,0.8879190911609864,0.4510824756673745,0.8367933150541846,0.2222193865121159
