fold,accuracy,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro
0,0.8251037641333906,0.8717914792273088,0.36227252795703896,0.8804115446285409,0.48081284719108014,0.86333857442348,0.3117987799190243
1,0.8325461571489909,0.8779712639872873,0.3903535836768077,0.8880257165818377,0.4854665549191526,0.868141940552573,0.3444699007781254
2,0.8180907399456133,0.87334295839349,0.4106846335969911,0.878996036988111,0.491837752000254,0.8677621283255086,0.3694412247748719
3,0.831114927722914,0.8803707381661702,0.36042737506752526,0.8920042929970485,0.5178761412719218,0.8690367272251993,0.3190477893950747
4,0.8270827369023762,0.8794951022286503,0.3938421021003767,0.8857256355932204,0.5191778181954975,0.8733516124820473,0.3427053057972373
