repeat,accuracy,f1-macro,f1-micro,loss
0,0.8281665951051954,0.3438704541936812,0.8775786539227399,0.07047931849956512
0,0.895148132245599,0.5647467143809836,0.9351366271046094,0.03716377913951874
0,0.9574888354517348,0.7158812536019318,0.9766049625836943,0.01356053352355957
1,0.9771575783598111,0.860091124958625,0.9876863763326645,0.008060947991907597
1,0.987118935165307,0.9490480689876107,0.9931662870159453,0.004791076295077801
1,0.9919271727928547,0.9711306853228815,0.995650299776637,0.0034412923268973827
2,0.9927007299270073,0.9844673334656243,0.9957951821432782,0.0031084660440683365
2,0.9951910691283813,0.9912887257721789,0.9972925250147145,0.00204800209030509
2,0.9956200618344212,0.9884217355720627,0.9976518472135254,0.0020441811066120863
