fold,accuracy,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro
0,0.8329755259768141,0.8828545192181556,0.42984117331781024,0.8838980824796427,0.5799751900497999,0.8818134171907757,0.38195328111425964
1,0.8374123371976527,0.8855011777021722,0.4860532818424188,0.884922191709167,0.6230665482403351,0.886080921827943,0.4416549136818954
2,0.8202375840847288,0.8764587000456353,0.44845519533494,0.8762873158649459,0.5316675496592351,0.8766301512780386,0.41766988467010585
3,0.8355517389437527,0.8856993052824748,0.4304495307703044,0.8882608124096227,0.4995960009345364,0.8831525290811658,0.3880721722386156
4,0.8349556255367878,0.885998169695385,0.4790533543675953,0.8871580049744731,0.6756683482760665,0.8848413631022327,0.42299377677033917
