fold,accuracy,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro
0,0.8271074853298984,0.8768622280817403,0.3503455483101569,0.882329530379411,0.3874078706113146,0.8714622641509434,0.32843612706015485
1,0.826821239444683,0.8771211620997029,0.4021153223514355,0.8846563665423548,0.5026071947585109,0.8697132381825324,0.36501668054482944
2,0.8256762559038214,0.8755274261603375,0.35609155783607843,0.8853333333333333,0.46160913147679694,0.8659363588941054,0.330321448924439
3,0.8306855588950909,0.8768955698298126,0.3591073688903062,0.8887248322147651,0.42566778491857105,0.865377074892171,0.3239343517167907
4,0.8316633266533067,0.8832970081236378,0.3926437701436249,0.8937449879711307,0.48571345052166975,0.8730904817861339,0.3535968358746751
