fold,accuracy,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro
0,0.8213825676255904,0.838087420480197,0.07786166399755967,0.8767711464147703,0.07306426220123086,0.8026729559748428,0.08333333333333333
1,0.8213825676255904,0.8393052516411379,0.07793609671848013,0.878345498783455,0.07319545823195459,0.8035877962550739,0.08333333333333333
2,0.8212394446829827,0.8412146025247356,0.07811826730540136,0.8822098182338629,0.0735174848528219,0.8038601982263954,0.08333333333333333
3,0.8212394446829827,0.8401420959147424,0.0780171538773853,0.8800629740947474,0.07333858117456228,0.8036857927068357,0.08333333333333333
4,0.8215001431434297,0.8406964834414475,0.07807030893319129,0.8811909533352419,0.07343257944460349,0.8037602820211516,0.08333333333333333
